
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server

  2026-09-11 22:59:47 / .......................................... ~ 500.46ms
  2026-09-11 22:59:48 /login ....................................... ~ 0.04ms
  2026-09-11 22:59:48 /track ..................................... ~ 500.40ms
  2026-09-11 22:59:48 /register .................................... ~ 0.02ms
  2026-09-11 23:00:11 / ............................................ ~ 0.09ms
  2026-09-11 23:00:11 /login ....................................... ~ 0.10ms
  2026-09-11 23:00:11 /register .................................... ~ 0.02ms
  2026-09-11 23:00:11 /track ....................................... ~ 0.01ms
  2026-09-11 23:00:18 /login ....................................... ~ 0.13ms
  2026-09-11 23:00:18 /login ..................................... ~ 500.41ms
  2026-09-11 23:00:19 /admin ....................................... ~ 0.02ms
  2026-09-11 23:00:26 /admin ..................................... ~ 500.43ms
  2026-09-11 23:00:36 /admin ..................................... ~ 500.36ms
  2026-09-11 23:15:47 / ............................................ ~ 0.08ms
  2026-09-11 23:15:47 /login ..................................... ~ 500.40ms
  2026-09-11 23:15:47 /register .................................... ~ 0.02ms
  2026-09-11 23:15:47 /track ....................................... ~ 0.01ms
  2026-09-11 23:15:47 /admin ....................................... ~ 0.01ms
  2026-09-11 23:15:47 /admin/requests ............................ ~ 500.39ms
  2026-09-11 23:15:47 /admin/customers ............................. ~ 0.02ms
  2026-09-11 23:15:47 /admin/users ................................. ~ 0.01ms
  2026-09-11 23:15:48 /admin/departments ........................... ~ 0.01ms
  2026-09-11 23:15:48 /admin/device-types ........................ ~ 500.39ms
  2026-09-11 23:15:48 /admin/inventory ............................. ~ 0.02ms
  2026-09-11 23:15:48 /admin/expenses .............................. ~ 0.01ms
  2026-09-11 23:15:48 /admin/partners ............................ ~ 500.40ms
  2026-09-11 23:15:48 /admin/financial ............................. ~ 0.02ms
  2026-09-11 23:15:48 /admin/reviews ............................... ~ 0.01ms
  2026-09-11 23:15:48 /admin/settings .............................. ~ 0.01ms
  2026-09-11 23:15:49 /admin/notifications ....................... ~ 500.38ms
  2026-09-11 23:15:49 /admin/activity .............................. ~ 0.02ms
  2026-09-11 23:15:49 /admin/performance ........................... ~ 0.02ms
  2026-09-11 23:15:49 /admin/heatmap ............................... ~ 0.01ms
  2026-09-11 23:15:49 /admin/reminders ........................... ~ 500.42ms
  2026-09-11 23:15:49 /admin/account ............................... ~ 0.02ms
  2026-09-11 23:17:09 /register .................................... ~ 0.10ms
  2026-09-11 23:17:09 /register .................................. ~ 500.35ms
  2026-09-11 23:17:10 /request ................................... ~ 500.34ms
  2026-09-11 23:17:10 /request ..................................... ~ 0.03ms
  2026-09-11 23:17:11 /my-requests ................................. ~ 0.01ms
  2026-09-11 23:17:11 /login ..................................... ~ 500.35ms
  2026-09-11 23:17:11 /login ....................................... ~ 0.02ms
  2026-09-11 23:17:11 /admin/users ................................. ~ 0.01ms
  2026-09-11 23:17:11 /admin/users ................................. ~ 0.10ms
  2026-09-11 23:17:12 /login ....................................... ~ 0.09ms
  2026-09-11 23:17:12 /login ....................................... ~ 0.02ms
  2026-09-11 23:17:13 /technician ................................ ~ 500.34ms
  2026-09-11 23:17:13 /technician .................................. ~ 0.02ms
  2026-09-11 23:17:13 /admin/reviews ............................... ~ 0.08ms
  2026-09-11 23:17:13 / ............................................ ~ 0.02ms
  2026-09-11 23:17:14 /track ....................................... ~ 0.10ms
  2026-09-11 23:17:30 /register .................................... ~ 0.10ms
  2026-09-11 23:17:30 /register .................................. ~ 500.50ms
  2026-09-11 23:17:31 /request ................................... ~ 500.54ms
  2026-09-11 23:17:31 /request ..................................... ~ 0.04ms
  2026-09-11 23:17:37 /request ................................... ~ 500.38ms
  2026-09-11 23:18:21 /login ....................................... ~ 0.10ms
  2026-09-11 23:18:21 /login ....................................... ~ 0.02ms
  2026-09-11 23:18:21 /request ................................... ~ 500.43ms
  2026-09-11 23:18:21 /request ..................................... ~ 0.02ms
  2026-09-11 23:18:28 /register .................................... ~ 0.08ms
  2026-09-11 23:18:28 /register .................................... ~ 0.02ms
  2026-09-11 23:18:29 /request ................................... ~ 500.38ms
  2026-09-11 23:18:29 /request ..................................... ~ 0.02ms
  2026-09-11 23:18:29 /my-requests ................................. ~ 0.01ms
  2026-09-11 23:18:29 /login ....................................... ~ 0.04ms
  2026-09-11 23:18:29 /login ..................................... ~ 500.38ms
  2026-09-11 23:18:30 /admin/users ................................. ~ 0.02ms
  2026-09-11 23:18:30 /admin/users ............................... ~ 500.37ms
  2026-09-11 23:18:31 /admin/requests/1 .......................... ~ 500.41ms
  2026-09-11 23:18:31 /admin/requests/1/assign ..................... ~ 0.02ms
  2026-09-11 23:18:31 /admin/requests/1 ............................ ~ 0.01ms
  2026-09-11 23:18:31 /admin/requests/1 ............................ ~ 0.01ms
  2026-09-11 23:18:31 /login ..................................... ~ 500.38ms
  2026-09-11 23:18:31 /login ....................................... ~ 0.02ms
  2026-09-11 23:18:32 /technician .................................. ~ 0.01ms
  2026-09-11 23:18:32 /technician ................................ ~ 500.38ms
  2026-09-11 23:18:32 /technician/requests/1/status ................ ~ 0.02ms
  2026-09-11 23:18:32 /my-requests/1 ............................... ~ 0.01ms
  2026-09-11 23:18:32 /my-requests/1/review ........................ ~ 0.01ms
  2026-09-11 23:18:33 /admin/reviews ............................... ~ 0.09ms
  2026-09-11 23:18:33 /admin/reviews/1/approve ................... ~ 500.37ms
  2026-09-11 23:18:33 / ............................................ ~ 0.02ms
  2026-09-11 23:18:33 /track ..................................... ~ 500.32ms
  2026-09-11 23:18:34 /my-requests/1/receipt ....................... ~ 0.10ms
  2026-09-11 23:18:45 /track ....................................... ~ 0.09ms
  2026-09-11 23:18:53 /track ....................................... ~ 0.14ms
  2026-09-11 23:18:54 /track ....................................... ~ 0.02ms
  2026-09-11 23:24:21 /login ....................................... ~ 0.10ms
  2026-09-11 23:24:21 /login ..................................... ~ 500.41ms
  2026-09-11 23:24:42 / ............................................ ~ 0.14ms
  2026-09-11 23:24:42 /fonts/cairo-arabic.woff2 .................... ~ 0.04ms
  2026-09-11 23:24:42 /css/app.css?v=1789168546 .................... ~ 0.15ms
  2026-09-11 23:24:42 /logo.jpg .................................... ~ 0.27ms
  2026-09-11 23:24:42 /js/alpine.min.js ............................ ~ 0.02ms
  2026-09-11 23:24:42 /fonts/cairo-latin.woff2 ..................... ~ 0.02ms
  2026-09-11 23:24:42 /logo.jpg .................................... ~ 0.01ms
  2026-09-11 23:24:52 /login ....................................... ~ 0.42ms
  2026-09-11 23:24:52 /css/app.css?v=1789168546 .................... ~ 0.05ms
  2026-09-11 23:24:52 /fonts/cairo-arabic.woff2 .................... ~ 0.37ms
  2026-09-11 23:24:52 /logo.jpg .................................... ~ 0.58ms
  2026-09-11 23:24:52 /js/alpine.min.js ............................ ~ 0.03ms
  2026-09-11 23:24:52 /fonts/cairo-latin.woff2 ..................... ~ 0.10ms
  2026-09-11 23:24:59 /login ..................................... ~ 500.45ms
  2026-09-11 23:25:00 /admin ....................................... ~ 0.02ms
  2026-09-11 23:25:00 /fonts/cairo-arabic.woff2 .................... ~ 0.02ms
  2026-09-11 23:25:00 /css/app.css?v=1789168546 .................... ~ 0.02ms
  2026-09-11 23:25:00 /logo.jpg .................................... ~ 0.13ms
  2026-09-11 23:25:00 /js/alpine.min.js ............................ ~ 0.03ms
  2026-09-11 23:25:00 /fonts/cairo-latin.woff2 ..................... ~ 0.02ms
  2026-09-11 23:25:08 /admin/requests .............................. ~ 0.10ms
  2026-09-11 23:25:08 /css/app.css?v=1789168546 .................... ~ 0.03ms
  2026-09-11 23:25:08 /fonts/cairo-arabic.woff2 .................... ~ 0.14ms
  2026-09-11 23:25:08 /logo.jpg .................................... ~ 0.01ms
  2026-09-11 23:25:08 /js/alpine.min.js ............................ ~ 0.02ms
  2026-09-11 23:25:08 /fonts/cairo-latin.woff2 ..................... ~ 0.01ms
  2026-09-11 23:25:10 /admin/financial ............................. ~ 0.10ms
  2026-09-11 23:25:10 /fonts/cairo-arabic.woff2 .................... ~ 0.04ms
  2026-09-11 23:25:10 /css/app.css?v=1789168546 .................... ~ 0.15ms
  2026-09-11 23:25:10 /logo.jpg .................................... ~ 0.26ms
  2026-09-11 23:25:10 /js/alpine.min.js ............................ ~ 0.33ms
  2026-09-11 23:25:10 /fonts/cairo-latin.woff2 ..................... ~ 0.02ms
  2026-09-11 23:25:13 /admin/heatmap ............................... ~ 0.10ms
  2026-09-11 23:25:13 /css/app.css?v=1789168546 .................... ~ 0.04ms
  2026-09-11 23:25:13 /fonts/cairo-arabic.woff2 .................... ~ 0.15ms
  2026-09-11 23:25:13 /logo.jpg .................................... ~ 0.26ms
  2026-09-11 23:25:13 /js/alpine.min.js ............................ ~ 0.01ms
  2026-09-11 23:25:13 /fonts/cairo-latin.woff2 ..................... ~ 0.01ms
  2026-09-11 23:25:23 /request ..................................... ~ 0.10ms
  2026-09-11 23:25:23 /css/app.css?v=1789168546 .................... ~ 0.03ms
  2026-09-11 23:25:23 /fonts/cairo-arabic.woff2 .................... ~ 0.15ms
  2026-09-11 23:25:23 /logo.jpg .................................... ~ 0.02ms
  2026-09-11 23:25:23 /js/alpine.min.js ............................ ~ 0.01ms
  2026-09-11 23:25:23 /fonts/cairo-latin.woff2 ..................... ~ 0.01ms
  2026-09-11 23:27:18 /login ....................................... ~ 0.11ms
  2026-09-11 23:27:19 /login ..................................... ~ 500.42ms
  2026-09-11 23:27:19 / ............................................ ~ 0.02ms
  2026-09-11 23:27:19 /track ..................................... ~ 500.66ms
  2026-09-11 23:27:19 /admin ....................................... ~ 0.02ms
  2026-09-11 23:27:19 /admin/requests .............................. ~ 0.01ms
  2026-09-11 23:27:19 /admin/customers ............................. ~ 0.02ms
  2026-09-11 23:27:20 /admin/users ............................... ~ 500.41ms
  2026-09-11 23:27:20 /admin/departments ........................... ~ 0.02ms
  2026-09-11 23:27:20 /admin/device-types .......................... ~ 0.02ms
  2026-09-11 23:27:20 /admin/reminders ............................. ~ 0.01ms
  2026-09-11 23:27:20 /admin/performance ......................... ~ 500.40ms
  2026-09-11 23:27:20 /admin/inventory ............................. ~ 0.02ms
  2026-09-11 23:27:20 /admin/expenses .............................. ~ 0.01ms
  2026-09-11 23:27:20 /admin/partners .............................. ~ 0.01ms
  2026-09-11 23:27:21 /admin/financial ........................... ~ 500.40ms
  2026-09-11 23:27:21 /admin/heatmap ............................... ~ 0.02ms
  2026-09-11 23:27:21 /admin/reviews ............................... ~ 0.02ms
  2026-09-11 23:27:21 /admin/notifications ......................... ~ 0.02ms
  2026-09-11 23:27:21 /admin/activity ............................ ~ 500.36ms
  2026-09-11 23:27:21 /admin/settings .............................. ~ 0.02ms
  2026-09-11 23:27:21 /admin/account ............................... ~ 0.01ms
  2026-09-11 23:27:22 /reception ................................. ~ 500.36ms
  2026-09-11 23:27:22 /reception/requests/1 ........................ ~ 0.02ms
  2026-09-11 23:27:41 /login ....................................... ~ 0.10ms
  2026-09-11 23:27:41 /login ..................................... ~ 500.46ms
  2026-09-11 23:27:42 /technician .................................. ~ 0.06ms
  2026-09-11 23:27:56 /login ....................................... ~ 0.10ms
  2026-09-11 23:27:56 /login ....................................... ~ 0.10ms
  2026-09-11 23:27:56 /technician .................................. ~ 0.03ms
  2026-09-11 23:27:56 /login ..................................... ~ 500.51ms
  2026-09-11 23:27:56 /login ....................................... ~ 0.06ms
  2026-09-11 23:28:06 /login ....................................... ~ 0.09ms
  2026-09-11 23:28:07 /login ..................................... ~ 500.38ms
  2026-09-11 23:28:07 /department ................................ ~ 500.37ms
  2026-09-11 23:28:40 /department .................................. ~ 0.09ms
  2026-09-11 23:28:40 /technician ................................ ~ 500.34ms
  2026-09-11 23:28:57 /register .................................. ~ 500.41ms
  2026-09-11 23:28:57 /register .................................... ~ 0.02ms
  2026-09-11 23:28:58 /request ................................... ~ 500.36ms
  2026-09-11 23:28:58 /request ..................................... ~ 0.02ms
  2026-09-11 23:28:58 /my-requests ................................. ~ 0.01ms
  2026-09-11 23:28:58 /login ....................................... ~ 0.01ms
  2026-09-11 23:28:58 /login ..................................... ~ 500.35ms
  2026-09-11 23:28:58 /admin/users ................................. ~ 0.02ms
  2026-09-11 23:28:59 /admin/users ............................... ~ 500.34ms
  2026-09-11 23:28:59 /admin/requests/360 .......................... ~ 0.08ms
  2026-09-11 23:28:59 /admin/requests/360/assign ................... ~ 0.02ms
  2026-09-11 23:29:00 /admin/requests/360 ........................ ~ 500.32ms
  2026-09-11 23:29:00 /admin/requests/360 .......................... ~ 0.02ms
  2026-09-11 23:29:00 /login ....................................... ~ 0.01ms
  2026-09-11 23:29:00 /login ..................................... ~ 500.84ms
  2026-09-11 23:29:00 /technician .................................. ~ 0.03ms
  2026-09-11 23:29:00 /technician .................................. ~ 0.01ms
  2026-09-11 23:29:01 /technician/requests/360/status ............ ~ 500.34ms
  2026-09-11 23:29:01 /my-requests/360 ............................. ~ 0.02ms
  2026-09-11 23:29:01 /my-requests/360/review ...................... ~ 0.02ms
  2026-09-11 23:29:01 /admin/reviews ............................... ~ 0.09ms
  2026-09-11 23:29:01 / ............................................ ~ 0.02ms
  2026-09-11 23:29:02 /track ....................................... ~ 0.09ms
  2026-09-11 23:29:02 /my-requests/360/receipt ..................... ~ 0.10ms
  2026-09-11 23:29:26 /register .................................... ~ 0.10ms
  2026-09-11 23:29:26 /register .................................... ~ 0.02ms
  2026-09-11 23:29:26 /request ..................................... ~ 0.02ms
